relation,id
rel,R1
rel.loc,R101
rel.loc.loc-loc,R101001
rel.loc.loc-loc.adjacentBuilding,R1010011
rel.loc.loc-loc.administrativeDivision,R1010012
rel.loc.loc-loc.administrativeDivision.area,R1010013
rel.loc.loc-loc.administrativeDivision.area.lieutenancyArea,R1010014
rel.loc.loc-loc.administrativeDivision.area.principalArea,R1010015
rel.loc.loc-loc.administrativeDivision.canton,R1010016
rel.loc.loc-loc.administrativeDivision.county,R1010017
rel.loc.loc-loc.administrativeDivision.county.ceremonialCounty,R1010018
rel.loc.loc-loc.administrativeDivision.department,R1010019
rel.loc.loc-loc.administrativeDivision.department.arrondissement,R10100110
rel.loc.loc-loc.administrativeDivision.diocese,R10100111
rel.loc.loc-loc.administrativeDivision.district,R10100112
rel.loc.loc-loc.administrativeDivision.district.administrativeDistrict,R10100113
rel.loc.loc-loc.administrativeDivision.district.electoralDistrict,R10100114
rel.loc.loc-loc.administrativeDivision.frazioni,R10100115
rel.loc.loc-loc.administrativeDivision.metropolitanBorough,R10100116
rel.loc.loc-loc.appliesToJurisdiction,R10100117
rel.loc.loc-loc.archipelago,R10100118
rel.loc.loc-loc.capitalOf,R10100119
rel.loc.loc-loc.carries,R10100120
rel.loc.loc-loc.childAstronomicalBody,R10100121
rel.loc.loc-loc.city,R10100122
rel.loc.loc-loc.city.capitalCity,R10100123
rel.loc.loc-loc.city.capitalCity.countryCapital,R10100124
rel.loc.loc-loc.city.largestCity,R10100125
rel.loc.loc-loc.city.nearestCity,R10100126
rel.loc.loc-loc.city.twinTown,R10100127
rel.loc.loc-loc.coextensiveWith,R10100128
rel.loc.loc-loc.connectingLine,R10100129
rel.loc.loc-loc.connectingService,R10100130
rel.loc.loc-loc.connectsWith,R10100131
rel.loc.loc-loc.constellation,R10100132
rel.loc.loc-loc.contains,R10100133
rel.loc.loc-loc.contains.containsAdministrativeUnit,R10100134
rel.loc.loc-loc.contains.containsSettlement,R10100135
rel.loc.loc-loc.continent,R10100136
rel.loc.loc-loc.country,R10100137
rel.loc.loc-loc.country.basinCountry,R10100138
rel.loc.loc-loc.country.countryOfOrigin,R10100139
rel.loc.loc-loc.country.twinCountry,R10100140
rel.loc.loc-loc.crosses,R10100141
rel.loc.loc-loc.cultureOf,R10100142
rel.loc.loc-loc.deepestPoint,R10100143
rel.loc.loc-loc.diplomaticRelation,R10100144
rel.loc.loc-loc.drainageBasin,R10100145
rel.loc.loc-loc.exclaveOf,R10100146
rel.loc.loc-loc.hasJunctionWith,R10100147
rel.loc.loc-loc.hasPart,R10100148
rel.loc.loc-loc.highestPlace,R10100149
rel.loc.loc-loc.island,R10100150
rel.loc.loc-loc.island.majorIsland,R10100151
rel.loc.loc-loc.isPartOf,R10100152
rel.loc.loc-loc.lake,R10100153
rel.loc.loc-loc.lakeInflow,R10100154
rel.loc.loc-loc.lakeOutflow,R10100155
rel.loc.loc-loc.locatedAt,R10100156
rel.loc.loc-loc.locatedInAdministrativeUnit,R10100157
rel.loc.loc-loc.locatedInArea,R10100158
rel.loc.loc-loc.locatedInArea.locatedInProtectedArea,R10100159
rel.loc.loc-loc.locatedNearbodyOfWater,R10100160
rel.loc.loc-loc.locatedOnAstronomicalBody,R10100161
rel.loc.loc-loc.locatedOnStreet,R10100162
rel.loc.loc-loc.locatedOnTerrainFeature,R10100163
rel.loc.loc-loc.lowestPlace,R10100164
rel.loc.loc-loc.minorPlanetGroup,R10100165
rel.loc.loc-loc.mountain,R10100166
rel.loc.loc-loc.mountain.lowestMountain,R10100167
rel.loc.loc-loc.mountain.mountainRange,R10100168
rel.loc.loc-loc.mountain.parentMountainPeak,R10100169
rel.loc.loc-loc.mouthOfWatercourse,R10100170
rel.loc.loc-loc.mouthOfWatercourse.mouthCountry,R10100171
rel.loc.loc-loc.mouthOfWatercourse.mouthPlace,R10100172
rel.loc.loc-loc.mouthOfWatercourse.mouthRegion,R10100173
rel.loc.loc-loc.mouthOfWatercourse.riverMouth,R10100174
rel.loc.loc-loc.municipality,R10100175
rel.loc.loc-loc.municipality.municipalAssociations,R10100176
rel.loc.loc-loc.municipality.neighboringMunicipality,R10100177
rel.loc.loc-loc.namedAfter,R10100178
rel.loc.loc-loc.ocean,R10100179
rel.loc.loc-loc.parentAstronomicalBody,R10100180
rel.loc.loc-loc.partiallyCoincidentWith,R10100181
rel.loc.loc-loc.placeServedByTransportHub,R10100182
rel.loc.loc-loc.placeServedByTransportHub.cityServed,R10100183
rel.loc.loc-loc.primaryDestinations,R10100184
rel.loc.loc-loc.province,R10100185
rel.loc.loc-loc.region,R10100186
rel.loc.loc-loc.region.subregion,R10100187
rel.loc.loc-loc.replacedBy,R10100188
rel.loc.loc-loc.replaces,R10100189
rel.loc.loc-loc.river,R10100190
rel.loc.loc-loc.routeLocation,R10100191
rel.loc.loc-loc.routeLocation.routeEnd,R10100192
rel.loc.loc-loc.routeLocation.routeJunction,R10100193
rel.loc.loc-loc.routeLocation.routeStart,R10100194
rel.loc.loc-loc.separatedFrom,R10100195
rel.loc.loc-loc.sharesBorderWith,R10100196
